,marketCap,regularMarketVolume,earningsQuarterlyGrowth,bookValue,totalRevenue,returnOnAssets,profitMargins,earningsGrowth,return_2020
ADANIPORTS,1657751076864,12901505,-0.179,180.288,159007899648,0.0,0.28441998,-0.207,-16.89136790654593
ASIANPAINT,3167850856448,933762,0.789,143.991,319870205952,0.0,0.10876001,0.788,-3.813725698642878
AXISBANK,2221430013952,6403035,0.859,400.581,433654104064,0.01474,0.37225,0.855,-43.30537195643657
BAJAJ-AUTO,996960239616,442625,-0.006,1033.043,348966289408,0.0,0.17649001,-0.007,-0.5664481937614041
BAJFINANCE,4343084089344,819955,1.59,724.584,202325999616,0.0,0.42613998,1.586,-34.80940641308216
BAJAJFINSV,2623116148736,1463700,0.572,252.906,689474109440,0.0,0.073,0.574,-23.62225945777705
BHARTIARTL,4782005157888,12618355,4.668,113.164,1230145978368,0.0,0.04535,4.462,-11.615302901891
BRITANNIA,908283019264,251820,-0.134,106.203,143912501248,0.0,0.10233,-0.134,26.413111351911155
CIPLA,912722165760,2601488,-0.04,258.321,216341807104,0.0,0.11502,-0.04,51.15186311802884
COALINDIA,1324678774784,11396434,1.787,70.006,1139026165760,0.0,0.20211,1.788,-33.509149915365164
DIVISLAB,989363109888,549553,0.26,441.792,92538003456,0.0,0.33556998,0.26,48.454162393309794
DRREDDY,733356949504,695228,1.081,1207.296,217350995968,0.07814,0.13681,1.079,62.82279992805366
EICHERMOT,947073843200,2179934,1.575,461.117,115789799424,0.0,0.17706,1.575,-1.9408608393310156
GRASIM,1077405941760,472975,0.16,1152.598,1038232715264,0.0,0.075279996,0.16,-18.49023754942921
HCLTECH,2524391407616,1598435,-0.025,2.827,11786000384,0.11816,0.15238,-0.021,21.5439038716664
HDFCBANK,7871467094016,5769571,0.209,465.81,960153911296,0.020060001,0.41358003,0.203,-26.17392573297247
HDFCLIFE,1113897959424,2949935,0.087,73.068,593496702976,0.00532,0.023359999,0.044,-19.04799244561857
HEROMOTOCO,504660459520,658481,1.305,793.078,324960190464,0.0,0.08158,1.304,-3.1690936422489213
HINDALCO,849846140928,8498978,0.478,351.611,2117190025216,0.0,0.07114,0.479,15.586395123273178
HINDUNILVR,6162717605888,1682946,0.135,208.807,548759994368,0.0,0.16698,0.136,-26.25482503604024
HDFC,4149055324160,2499180,0.053,992.004,980015972352,0.0,0.23327999,0.052,14.664800495462993
ICICIBANK,5910454337536,8231407,0.555,272.658,1120779894784,0.01768,0.24743,0.549,-35.072136917979854
ITC,3997451419648,9108572,0.117,48.064,606680907776,0.15613,0.25125,0.115,-67.78286500726726
INDUSINDBK,903394295808,3397746,0.605,568.756,170415603712,0.0,0.31805,0.604,-26.353343029177424
INFY,5840467656704,4942041,-0.021,2.46,16972999680,0.1582,0.17368999,-0.035,-15.110628163821183
JSWSTEEL,1502936301568,1285890,-0.858,280.345,1555550044160,0.0,0.10028,-0.858,-15.746532219561082
KOTAKBANK,3542361571328,2439679,0.526,421.683,463415705600,0.0,0.28136,0.524,-20.795077383315665
LT,2555825356800,1850257,0.449,515.177,1653157920768,0.0,0.055630002,0.449,-30.335699727971623
MARUTI,2581877751808,1122711,1.181,1738.176,970651009024,0.0,0.04575,1.182,-13.24583233277753
NTPC,1554860998656,10526270,0.154,123.669,1459583975424,0.0,0.11785,0.153,13.827606741681308
NESTLEIND,1831184760832,52024,-0.043,241.478,156077703168,0.22621,0.13545,-0.043,-29.044146765832313
ONGC,1666280325120,50960019,0.994,206.278,5660587065344,0.0,0.09093001,0.994,-36.15806909298952
POWERGRID,1470079172608,8801446,-0.366,109.308,423029702656,0.0,0.34577,-0.366,-4.097545005937786
RELIANCE,16032012959744,5468093,0.43,1086.227,5749949857792,0.03101,0.09092,0.403,41.935600152238784
SBILIFE,1238177939456,981695,0.178,117.666,717580206080,0.00424,0.021540001,0.179,-9.65079755568139
SHREECEM,747557879808,98779,-0.556,3868.298,157895802880,0.0,0.12550001,-0.556,-43.53079189054354
SBIN,4638565728256,9348383,0.559,306.205,2107195916288,0.0072899996,0.16787,0.56,2.1635087917852625
SUNPHARMA,2296608456704,4444363,0.427,187.968,396975112192,0.0,0.09798,0.433,22.48965724762071
TCS,11041479065600,1762851,0.052,233.603,1991010025472,0.22162001,0.19486,0.064,40.11433110061829
TATACONSUM,725556658176,1652184,3.036,153.165,124253700096,0.04287,0.07531,3.062,-42.47742092993951
TATASTEEL,122130038784,37271954,-0.128,549.901,2539238195200,0.0,0.15364,-0.142,5.8127860435116085
TECHM,976092135424,2431027,-0.164,284.428,471563010048,0.0,0.11334,-0.166,-12.93867640062869
TITAN,2285338624000,1049060,-0.096,84.541,287989989376,0.09838,0.07545,-0.097,-6.2512276110680665
UPL,508166307840,1815708,0.297,249.237,462399995904,0.06382,0.07842,0.41,-5.368332632957729
ULTRACEMCO,1818017923072,337829,-0.07,1412.932,559329705984,0.0,0.12919,-0.069,-22.462002360610565
WIPRO,2155481006080,4068760,-0.207,100.374,823696031744,0.08191,0.14023,-0.208,13.646638444083624
